sofifa_id,nationality,club_name,league_name
191409,Saudi Arabia,Al Adalah,Saudi Abdul L. Jameel League
191437,Saudi Arabia,Al Adalah,Saudi Abdul L. Jameel League
192261,Sweden,Falkenbergs FF,Swedish Allsvenskan
192343,Venezuela,AC Mineros de Guayana,Venezuelan Primera División
192479,Northern Ireland,Plymouth Argyle,English League One
192585,Moldova,Academica Clinceni,Romanian Liga I
192915,Mexico,Melgar FBC,Peruvian Primera División
192937,Andorra,Sandefjord Fotball,Norwegian Eliteserien
193235,Germany,FC Ingolstadt 04,German 3. Bundesliga
193613,England,Grimsby Town,English League Two
193627,Scotland,Dundee United,Scottish Premiership
193771,England,Morecambe,English League Two
193906,Poland,Stal Mielec,Polish T-Mobile Ekstraklasa
194003,Poland,Raków Częstochowa,Polish T-Mobile Ekstraklasa
194429,Nigeria,Aalesunds FK,Norwegian Eliteserien
194678,England,Salford City,English League Two
196919,Bolivia,Club Blooming,Liga de Fútbol Profesional Boliviano
197774,England,Oldham Athletic,English League Two
197883,England,Colchester United,English League Two
197896,Canada,FC Hansa Rostock,German 3. Bundesliga
198116,Slovenia,,
198373,Scotland,Livingston FC,Scottish Premiership
198543,Republic of Ireland,Shamrock Rovers,Rep. Ireland Airtricity League
198590,Ivory Coast,Kasimpaşa SK,Turkish Süper Lig
199021,Republic of Ireland,Bohemian FC,Rep. Ireland Airtricity League
199620,England,Tranmere Rovers,English League Two
199801,Germany,Eintracht Braunschweig,German 2. Bundesliga
200134,Republic of Ireland,St. Patrick's Athletic,Rep. Ireland Airtricity League
200253,Sweden,IK Sirius,Swedish Allsvenskan
200551,Korea Republic,Gangwon FC,Korean K League Classic
200560,Korea Republic,Busan IPark,Korean K League Classic
200876,France,Crotone,Italian Serie A
201170,Poland,Podbeskidzie Bielsko-Biała,Polish T-Mobile Ekstraklasa
201294,Spain,CE Sabadell FC,Spanish Segunda División
201467,Republic of Ireland,Dundalk,Rep. Ireland Airtricity League
201921,England,Exeter City,English League Two
201932,Korea Republic,Busan IPark,Korean K League Classic
202788,Poland,Warta Poznań,Polish T-Mobile Ekstraklasa
202793,Italy,Hellas Verona,Italian Serie A
202975,Korea Republic,Gangwon FC,Korean K League Classic
203575,Poland,Wisła Kraków,Polish T-Mobile Ekstraklasa
204666,Venezuela,Estudiantes de Mérida,Venezuelan Primera División
205078,Mexico,Querétaro,Mexican Liga MX
205443,Germany,VfB Lübeck,German 3. Bundesliga
207459,Norway,FK Bodø/Glimt,Norwegian Eliteserien
207768,Paraguay,Sportivo Luqueño,Paraguayan Primera División
207789,China PR,Guangzhou R&F FC,Chinese Super League
208066,Korea Republic,GwangJu FC,Korean K League Classic
208095,Poland,Warta Poznań,Polish T-Mobile Ekstraklasa
208590,Italy,AC Monza,Italian Serie B
208944,England,Morecambe,English League Two
208958,Saudi Arabia,Damac FC,Saudi Abdul L. Jameel League
209027,Saudi Arabia,Al Faisaly,Saudi Abdul L. Jameel League
209071,Saudi Arabia,Al Wehda,Saudi Abdul L. Jameel League
209222,Saudi Arabia,Al Faisaly,Saudi Abdul L. Jameel League
209268,England,Grimsby Town,English League Two
209274,England,Oldham Athletic,English League Two
209494,Switzerland,FC Vaduz,Swiss Super League
209757,Australia,Western Sydney Wanderers,Australian Hyundai A-League
210615,Korea Republic,Incheon United FC,Korean K League Classic
210694,Costa Rica,AC Mineros de Guayana,Venezuelan Primera División
210783,Saudi Arabia,Al Raed,Saudi Abdul L. Jameel League
210806,Saudi Arabia,Al Hazem,Saudi Abdul L. Jameel League
211141,Saudi Arabia,Al Fayha,Saudi Abdul L. Jameel League
211831,Germany,Hallescher FC,German 3. Bundesliga
211833,Germany,Hallescher FC,German 3. Bundesliga
211846,Saudi Arabia,Abha Club,Saudi Abdul L. Jameel League
212816,Korea Republic,Busan IPark,Korean K League Classic
212989,Australia,Western United FC,Australian Hyundai A-League
213483,Bosnia Herzegovina,Varbergs BoIS,Swedish Allsvenskan
214007,Saudi Arabia,Al Adalah,Saudi Abdul L. Jameel League
214033,Colombia,Independiente Medellín,Colombian Liga Postobón
215338,Colombia,Deportivo Pasto,Colombian Liga Postobón
215350,Argentina,Sol de América,Paraguayan Primera División
220742,Bosnia Herzegovina,Kayserispor,Turkish Süper Lig
221666,England,Real Salt Lake,USA Major League Soccer
221831,Korea Republic,Daegu FC,Korean K League Classic
221844,China PR,Shijiazhuang Ever Bright F.C.,Chinese Super League
222063,Sweden,Falkenbergs FF,Swedish Allsvenskan
222216,Norway,Adelaide United,Australian Hyundai A-League
222282,China PR,Shanghai Greenland Shenhua FC,Chinese Super League
222618,Korea Republic,Pohang Steelers,Korean K League Classic
222624,China PR,Tianjin TEDA FC,Chinese Super League
222995,Netherlands,FC Emmen,Holland Eredivisie
223407,Saudi Arabia,Al Fayha,Saudi Abdul L. Jameel League
224002,Saudi Arabia,Al Hazem,Saudi Abdul L. Jameel League
224616,China PR,Shanghai SIPG FC,Chinese Super League
224916,Uruguay,Nacional Potosí,Liga de Fútbol Profesional Boliviano
225973,Venezuela,AC Mineros de Guayana,Venezuelan Primera División
226189,China PR,Shenzhen FC,Chinese Super League
226855,Argentina,Oriente Petrolero,Liga de Fútbol Profesional Boliviano
228610,Saudi Arabia,Al Fayha,Saudi Abdul L. Jameel League
229079,England,Crawley Town,English League Two
229126,England,Walsall,English League Two
230179,Brazil,Vasco da Gama,Campeonato Brasileiro Série A
